category,name,address,city,state,zip,confidence
library,Chukchi Consortium Library,604 3rd Ave,Kotzebue,AK,99752,0.96
college_university,UAF Chukchi Campus,604 3rd Ave,Kotzebue,AK,99752,0.96
library,Tuzzy Consortium Library,5448 North Star St,Utqiagvik,AK,99723,0.95
college_university,Barrow Arctic Science Consortium,1755 Ahkovak St,Utqiagvik,AK,99723,0.96
college_university,Iḷisaġvik College,101 Stevenson St,Utqiagvik,AK,99723,0.93
cooking_school,Teach To Taste,17320 High Point Rd,Hancock,MI,49930,0.95
community_center,Keweenaw Heritage Center,25725 Scott St,Calumet,MI,49913,0.96
library,Calumet Public Library,57070 Mine St,Calumet,MI,49913,0.96
library,Hancock School Public Library,501 Campus Dr,Hancock,MI,49930,0.96
college_university,Suomi College Historical Marker,,,,49930,0.96
dance_school,Superior School of Dance,417 Quincy St,Hancock,MI,49930,0.95
vocational_and_technical_school,Five Elements Integrative Therapy Academy,902 Razorback Dr,Houghton,MI,49931,0.92
college_university,Michigan Tech Recreation,1400 Townsend Dr,Houghton,MI,49931,0.95
community_center,Michigan Tech Lakeshore Center,600 E Lakeshore Dr,Houghton,MI,49931,0.96
college_university,Harold Meese Center,"Michigan Technological University, 1400 Townsend Dr",Houghton,MI,49931,0.95
college_university,Michigan Tech University - Facilities,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Career Services,1400 Townsend Dr,Houghton,MI,49931,0.96
college_university,Summer Youth Programs,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Administration Building,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Michigan Tech Mechanical Engineering,1400 Townsend Dr,Houghton,MI,49931,0.96
college_university,Michigan Technological Women's Soccer Club,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,H-STEM building,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Electrical and Computer Engineering,"Rozsa Center, 1400 Townsend Dr",Houghton,MI,49931,0.96
college_university,Michigan Technological University,1400 Townsend Dr,Houghton,MI,49931,0.93
college_university,Eastern Tribal Technical Assistance Program at Michigan Tech,1400 Townsend Dr,Houghton,MI,49931,0.96
college_university,Undergraduate Admissions,"Memorial Union Building, 1400 Townsend Dr",Houghton,MI,49931,0.96
college_university,Energy Exploration Laboratory,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Graduate School,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Center for Diversity and Inclusion,1400 Townsend Dr,Houghton,MI,49931,0.96
college_university,Mind Trekkers,1400 Townsend Dr,Houghton,MI,49931,0.95
library,J. Robert Van Pelt and John and Ruanne Opie Library,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Kanwal and Ann Rekhi Hall,1400 Townsend Dr,Houghton,MI,49931,0.95
college_university,Michigan Technological University Public Safety and Police Services,206 MacInnes Dr,Houghton,MI,49931,0.96
community_center,Little Gem Community Center,700 Calumet St,Lake Linden,MI,49945,0.94
library,Munising School Public Library,810 M-28,Munising,MI,49862,0.96
library,Whitefish Township Community Library,7247 N M 123,Paradise,MI,49768,0.95
college_university,Bay Mills Community College,12214 W Lakeshore Dr,Brimley,MI,49715,0.96
library,Tahquamenon Area Library,700 Newberry Ave,Newberry,MI,49868,0.95
dance_school,Peninsula Pointe,7332 State Highway M123,Newberry,MI,49868,0.92
library,Curtis Public Library,9220 Portage Ave,Portage Twp,MI,49820,0.96
library,Beaver Island District Library,26400 Donegal Bay Rd,Beaver Island,MI,49782,0.96
community_center,Beaver Island Community Center,26215 Main St,Beaver Island,MI,49782,0.95
library,St. Ignace Public Library,110 W Spruce St,St Ignace,MI,49781,0.95
library,Mackinac Island Public Library,7549 Main St,Mackinac Island,MI,49757,0.96
cooking_school,Les Cheneaux Culinary School,186 S Pickford Ave,Hessel,MI,49745,0.91
flight_school,Contrail Aviation Inc.,1520 Levering Rd,Beaugrand Twp,MI,49721,0.95
college_university,North Central Michigan College,504 Division St,Cheboygan,MI,49721,0.96
library,Cheboygan Area Public Library,100 S Bailey St,Cheboygan,MI,49721,0.95
driving_school,Street Smart Driver Training,11651 Butler Rd,Cheboygan,MI,49721,0.96
library,Mackinaw Area Public Library,528 W Central Ave,Mackinaw City,MI,49701,0.95
community_center,Levering Community Center,6236 Mill St,McKinley Twp,MI,49755,0.95
library,Harbor Springs Library,206 S Spring St,Harbor Springs,MI,49740,0.96
specialty_school,Adept Defense,101 Greenwood Cemetery Rd,Petoskey,MI,49770,0.95
dance_school,Great Lakes Dance Academy - Petoskey MI,101 Greenwood Cemetery Rd,Petoskey,MI,49770,0.95
college_university,Lake Superior State University,"Petoskey Yesterday's, 306 E Lake St",Petoskey,MI,49770,0.96
dance_school,ZoeDance,405 E Lake St,Petoskey,MI,49770,0.96
library,Petoskey District Library,500 E Mitchell St,Petoskey,MI,49770,0.95
college_university,North Central Michigan College,1515 Howard St,Petoskey,MI,49770,0.91
college_university,Spring Arbor University - Petoskey,1515 Howard St,Petoskey,MI,49770,0.96
dance_school,Beautiful Feet Dance Studio LLC,611 Woodview Dr,Little Traverse Twp,MI,49740,0.95
college_university,Northern Michigan Energy,8450 Channel Rd,Springvale Twp,MI,49770,0.96
library,Topinabee Public Library,1576 N Straits Hwy,Mullett Twp,MI,49721,0.95
library,Indian River Area Library,3546 S Straits Hwy,Indian River,MI,49749,0.96
community_center,Afton Community Club,7016 Montgomery Rd,Walker Twp,MI,49705,0.95
library,Wolverine Community Library,5716 Main St,Wolverine,MI,49799,0.96
library,Crooked Tree District Library,2203 Walloon St,Melrose Twp,MI,49796,0.95
library,Boyne District Library,201 E Main St,Boyne City,MI,49712,0.92
library,Charlevoix Public Library,220 Clinton St,Charlevoix,MI,49720,0.95
vocational_and_technical_school,Northern Sky Obedience Academy,7900 Charlevoix View Dr,Charlevoix,MI,49720,0.96
library,Jordan Valley District Library,1 Library Ln,East Jordan,MI,49727,0.95
library,Leelanau Township Library,119 E Nagonaba St,Northport,MI,49670,0.96
library,Manistique School-Public Library,100 N Cedar St,Manistique,MI,49854,0.95
college_university,Bay College,2001 N Lincoln Rd,Escanaba,MI,49829,0.98
driving_school,North Country Electrical Line and Heavy Equipment School,2929 16th Ave N,Escanaba,MI,49829,0.96
driving_school,Midwest Truck Driving School,1519 N 26th St,Escanaba,MI,49829,0.98
dance_school,Academy of Dance,1315 N Lincoln Rd,Escanaba,MI,49829,0.95
cosmetology_school,PM School,1625 Sheridan Rd,Escanaba,MI,49829,0.91
dance_school,K-Dance Express,1115 Ludington St,Escanaba,MI,49829,0.95
cosmetology_school,Renaissance Academy of Beauty,1013 Ludington St,Escanaba,MI,49829,0.95
community_center,Escanaba City Water,1 Water Plant Rd,Escanaba,MI,49829,0.96
community_center,Stonington Community Hall,5870 County 513 T Rd,Rapid River,MI,49878,0.95
art_school,Sievers School of Fiber Arts,986 Jackson Harbor Rd,Washington Island,WI,54246,0.99
cooking_school,Savory Spoon Cooking School,12042 State Highway 42,Ellison Bay,WI,54210,0.95
college_university,NWTC Learning and Innovation Center,2438 S Bay Shore Dr,Sister Bay,WI,54234,0.96
community_center,Sister Bay Village Hall,10693 WI-42,,,54234,0.95
art_school,Peninsula School of Art & Gallery,3900 County Road F,Fish Creek,WI,54212,0.91
community_center,Cedarville Twp Hall,W2244 Number 29 Rd,Cedarville,MI,49821,0.95
library,Menominee County Library,319 Railroad St,,,49887,0.96
driving_school,Abby Road Driving LLC,505 6th Ave,Menominee,MI,49858,0.95
library,Spies Public Library,940 1st St,Menominee,MI,49858,0.95
dance_school,First Street Academy Of Dance,521 1st St,Menominee,MI,49858,0.95
driving_school,"Road Rules Driving School, LLC",N9951 Skyhawk Dr,Crivitz,WI,54114,0.95
community_center,CYI Community Center,901 Henriette Ave,Crivitz,WI,54114,0.96
library,Crivitz Area Library,606 Louisa St,Crivitz,WI,54114,0.95
library,Lakes Country Public Library,15235 WI-32,Lakewood,WI,54138,0.96
college_university,Northland Scholars Academy,W10085 Pike Plains Rd,Dunbar,WI,54119,0.96
library,Wausaukee Public Library,704 Main St,Wausaukee,WI,54177,0.95
college_university,NWTC Aurora,2030 Calvary Dr,Aurora,WI,54151,0.99
dance_school,Julie's Top Hat Dance Studio,1525 Pyle Dr,Kingsford,MI,49802,0.96
music_school,Dawn Kranz Music Studio,712 Cass Ave,Kingsford,MI,49802,0.95
dance_school,Donna's School of Dance,1075 Pyle Dr,Kingsford,MI,49802,0.96
dance_school,The 906 Sports Academy,1000 W Breitung Ave,Kingsford,MI,49802,0.96
college_university,Northland Camp & Conference Center,W10085 Pike Plains Rd,Dunbar,WI,54119,0.95
college_university,Sunny's Design and Alteration,305 S Stephenson Ave,Iron Mountain,MI,49801,0.95
music_school,Major 10th School of Music,220 E Hughitt St,Iron Mountain,MI,49801,0.95
library,Dickinson County Library,401 Iron Mountain St,Iron Mountain,MI,49801,0.95
college_university,Michigan Laborers Training,W8008 S US Highway 2,Iron Mountain,MI,49801,0.96
music_school,Kingsford Guitar Lessons,112 S Jackson St,Breitung Twp,MI,49802,0.96
library,Niagara Public Library,1029 Roosevelt Rd,Niagara,WI,54151,0.96
library,"Dickinson County Library, Solomonson Branch",620 Section St,Norway,MI,49870,0.96
community_center,Niagara Twp Hall,W6889 US Highway 8,Niagara,WI,54151,0.95
art_school,Crafters on Central,733 Central Ave,Florence,WI,54121,0.91
library,Florence County Library,400 Olive Ave,Florence,WI,54121,0.96
driving_school,"Dickinson Area Driving School, Inc",940 Ford St,Kingsford,MI,49802,0.96
college_university,Bay College - Iron Mountain Campus,2801 US-2,Iron Mountain,MI,49801,0.92
library,Hermansville Branch Library,W5480 1st St,Meyer Twp,MI,49847,0.96
library,Forsyth Twp Public Library,180 W Flint St,Forsyth Twp,MI,49841,0.95
library,Ishpeming Carnegie Public Library,317 N Main St,Ishpeming,MI,49849,0.96
library,Negaunee Public Library,319 W Case St,Negaunee,MI,49866,0.99
library,Richmond Township Library,304 Snyder St,,,49871,0.96
dance_school,Studio Dance Arts - Marquette,"Westwood Mall, 3020 US Highway 41 W",Marquette,MI,49855,0.95
college_university,Whitman Hall,"1401 Presque Isle Avenue, 136 Whitman Hall",,,49855,0.95
college_university,Center For Native,112 Whitman Hall,Marquette,MI,49855,0.95
driving_school,46 North Driving School,927 W Fair Ave,Marquette,MI,49855,0.95
college_university,Seaborg Center,1401 Presque Isle Ave,,,49855,0.95
dance_school,Dance Zone Marquette,1113 Lincoln Ave,Marquette,MI,49855,0.98
college_university,McClintock,1401 Presque Isle Ave,Marquette,MI,49855,0.96
college_university,NMU Career Services,1401 Presque Isle Ave,Marquette,MI,49855,0.95
college_university,Northern Michigan University,1401 Presque Isle Ave,Marquette,MI,49855,0.98
college_university,Up Campus,1401 Presque Isle Ave,Marquette,MI,49855,0.92
college_university,NMU New Student Orientation Center,1401 Presque Isle Ave,Marquette,MI,49855,0.95
college_university,NMU Superior Edge,1205 Presque Isle Ave,Marquette,MI,49855,0.96
college_university,NMU Continuing Education,1401 Presque Isle Ave,Marquette,MI,49855,0.96
college_university,NMU College of Business,1401 Presque Isle Ave,Marquette,MI,49855,0.96
music_school,Robert Buchkoe Piano Studio,1117 N 4th St,Marquette,MI,49855,0.96
college_university,NMU Physical Education Instructional Facility (PEIF),1401 Presque Isle Ave,,,49855,0.95
college_university,Admit School,1218 High St,Marquette,MI,49855,0.95
library,Peter White Public Library,217 N Front St,Marquette,MI,49855,0.95
dance_school,Chaval Christian Dance Company,147 W Washington St,Marquette,MI,49855,0.95
dance_school,New Attitudes Dance Studios,118 W Washington St,Marquette,MI,49855,0.95
college_university,Michigan State University Regional Office,205 S Front St,Marquette,MI,49855,0.96
vocational_and_technical_school,Ibew 906 Jatc,304 Avenue A,Gwinn,MI,49841,0.92
community_center,Skandia Comm. Center,224 Kreiger Dr,Skandia,MI,49885,0.95
college_university,NMU Archives,"Northern Michigan University, 1401 Presque Isle Ave",Marquette,MI,49855,0.95
community_center,Niiwin Akeaa Community Center,111 Beartown Rd,,,49908,0.95
college_university,Keweenaw Bay Ojibwa Community College,770 N Main St,L'Anse,MI,49946,0.96
library,Lanse Public Library,201 N 4th St,L'Anse,MI,49946,0.96
dance_school,Inclusion Dance & Gymnastics,401 Superior Ave,Crystal Falls,MI,49920,0.93
library,Crystal Falls Library,237 Superior Ave,Crystal Falls,MI,49920,0.96
library,Mc Millan Township Library,200 S Cedar St,McMillan Twp,MI,49925,0.96
library,Ontonagon Township Library,311 N Steel St,Ontonagon,MI,49953,0.95
music_school,Wakefield Marenisco School District,715 Putnam St,Wakefield,MI,49968,0.96
library,Wakefield Public Library,401 Hancock St,Wakefield,MI,49968,0.96
community_center,Boulder Junction Community Center,5386 Park St,Boulder Junction,WI,54512,0.96
library,Boulder Junction Public Library,5392 Park St,Boulder Junction,WI,54512,0.98
library,Winchester Public Library,2117 Lake St,Presque Isle,WI,54557,0.96
library,Frank B Koller Memorial Library,5761 US-51,Mercer,WI,54547,0.96
library,Presque Isle Community Library,8306 School Loop Rd,Presque Isle,WI,54557,0.95
library,Lac Du Flambeau Public Library,622 Peace Pipe Rd,Lac du Flambeau,WI,54538,0.95
art_school,Dillman's Art Workshop Retreat,3305 Sand Lake Lodge Ln,Lac du Flambeau,WI,54538,0.93
college_university,UW-Trout Lake Station,3110 Trout Lake Station Dr,Boulder Junction,WI,54512,0.95
art_school,Campanile Center for the Arts,131 W Milwaukee St,Minocqua,WI,54548,0.91
library,Minocqua Public Library,415 Menominee St,Minocqua,WI,54548,0.95
dance_school,"Minocqua Dance, LLC.",8153 Northern Rd,Minocqua,WI,54548,0.95
medical_school,"American Board of Surgical Assistants, Inc",4951 Hidden Lakes Dr,Harshaw,WI,54529,0.95
library,Rhinelander District Library,106 N Stevens St,Rhinelander,WI,54501,0.96
college_university,Nicolet College,5364 College Dr,Rhinelander,WI,54501,0.92
library,Plum Lake Library,8789 Peterson St,Sayner,WI,54560,0.95
cooking_school,Foodstyle Cooking Classes,8468 Evergreen Dr,Eagle River,WI,54521,0.95
vocational_and_technical_school,Advanced Welding Institute,555 Enterprise Way,Eagle River,WI,54521,0.95
dance_school,Eagle River Chain O' Dance Studio,115 S 3rd St,Eagle River,WI,54521,0.96
library,E Ellis Phelps Library,4495 Town Hall Rd,Phelps,WI,54554,0.96
library,Demmer Memorial Library,6961 W School St,Three Lakes,WI,54562,0.96
college_university,Rhinelander Agricultural Research Station,4181 Camp Bryn Afon Rd,Rhinelander,WI,54501,0.95
community_center,Elcho Community Pavilion,N11283 Dorr St,Elcho,WI,54428,0.96
library,Crandon Public Library,110 W Polk St,Crandon,WI,54520,0.96
library,Edith Evans Community Library,5216 Forest Ave,Laona,WI,54541,0.99
library,Town of Wabeno Public Library,4556 N Branch St,Wabeno,WI,54566,0.95
dance_school,Expressions Dance Studio,535 Center St,Antigo,WI,54409,0.96
library,Antigo Public Library,617 Clermont St,Antigo,WI,54409,0.95
driving_school,Karl's CDL Training School,N2440 US-45,Antigo,WI,54409,0.96
college_university,Treehaven UWSP,W2540 Pickerel Creek Rd,Tomahawk,WI,54487,0.96
driving_school,Cruisers Driving School LLC,N11668 Lamer Rd,Tomahawk,WI,54487,0.96
library,Tomahawk Public Library,300 W Lincoln Ave,Tomahawk,WI,54487,0.95
dance_school,North4 Dance Studio LLC,329 W Spirit Ave,Tomahawk,WI,54487,0.95
college_university,School District of Holmen,,Holmen,WI,,0.91
college_university,Trinity Merrill Lutheran Early Learning Center,201 Stange St,Merrill,WI,54452,0.96
library,T.B. Scott Free Library,106 W 1st St,Merrill,WI,54452,0.98
