category,name,address,city,state,zip,confidence
library,Chukchi Consortium Library,604 3rd Ave,Kotzebue,AK,99752,0.96
library,Tuzzy Consortium Library,5448 North Star St,Utqiagvik,AK,99723,0.95
youth_organizations,Houghton/Keweenaw CTC,47431 M-26,Houghton,MI,49931,0.95
community_center,Keweenaw Heritage Center,25725 Scott St,Calumet,MI,49913,0.96
library,Calumet Public Library,57070 Mine St,Calumet,MI,49913,0.96
library,Hancock School Public Library,501 Campus Dr,Hancock,MI,49930,0.96
community_center,Michigan Tech Lakeshore Center,600 E Lakeshore Dr,Houghton,MI,49931,0.96
musical_instrument_store,White's Piano Service,404 Frue Ave,Houghton,MI,49931,0.95
library,J. Robert Van Pelt and John and Ruanne Opie Library,1400 Townsend Dr,Houghton,MI,49931,0.95
community_center,Little Gem Community Center,700 Calumet St,Lake Linden,MI,49945,0.94
musical_instrument_store,Blackburn Global,30 Gregory St,Lake Linden,MI,49945,0.96
library,Munising School Public Library,810 M-28,Munising,MI,49862,0.96
youth_organizations,Alger Parks & Recreation,413 Maple St,Munising,MI,49862,0.95
library,Whitefish Township Community Library,7247 N M 123,Paradise,MI,49768,0.95
library,Tahquamenon Area Library,700 Newberry Ave,Newberry,MI,49868,0.95
library,Curtis Public Library,9220 Portage Ave,Portage Twp,MI,49820,0.96
library,Beaver Island District Library,26400 Donegal Bay Rd,Beaver Island,MI,49782,0.96
community_center,Beaver Island Community Center,26215 Main St,Beaver Island,MI,49782,0.95
library,St. Ignace Public Library,110 W Spruce St,St Ignace,MI,49781,0.95
library,Mackinac Island Public Library,7549 Main St,Mackinac Island,MI,49757,0.96
youth_organizations,Cheboygan Youth Center,504 Division St,Cheboygan,MI,49721,0.95
library,Cheboygan Area Public Library,100 S Bailey St,Cheboygan,MI,49721,0.95
library,Mackinaw Area Public Library,528 W Central Ave,Mackinaw City,MI,49701,0.95
community_center,Levering Community Center,6236 Mill St,McKinley Twp,MI,49755,0.95
library,Harbor Springs Library,206 S Spring St,Harbor Springs,MI,49740,0.96
library,Petoskey District Library,500 E Mitchell St,Petoskey,MI,49770,0.95
library,Topinabee Public Library,1576 N Straits Hwy,Mullett Twp,MI,49721,0.95
library,Indian River Area Library,3546 S Straits Hwy,Indian River,MI,49749,0.96
community_center,Afton Community Club,7016 Montgomery Rd,Walker Twp,MI,49705,0.95
library,Wolverine Community Library,5716 Main St,Wolverine,MI,49799,0.96
library,Crooked Tree District Library,2203 Walloon St,Melrose Twp,MI,49796,0.95
library,Boyne District Library,201 E Main St,Boyne City,MI,49712,0.92
library,Charlevoix Public Library,220 Clinton St,Charlevoix,MI,49720,0.95
library,Jordan Valley District Library,1 Library Ln,East Jordan,MI,49727,0.95
library,Leelanau Township Library,119 E Nagonaba St,Northport,MI,49670,0.96
library,Manistique School-Public Library,100 N Cedar St,Manistique,MI,49854,0.95
youth_organizations,Delta County MSU Extension,2840 College Ave,Escanaba,MI,49829,0.95
tutoring_center,Math Recalculated,1519 N 26th St,Escanaba,MI,49829,0.99
educational_camp,Delta Vocational Education,2525 3rd Ave S,Escanaba,MI,49829,0.95
musical_instrument_store,906 Plug and Play,815 Ludington St,Escanaba,MI,49829,0.91
community_center,Escanaba City Water,1 Water Plant Rd,Escanaba,MI,49829,0.96
community_center,Stonington Community Hall,5870 County 513 T Rd,Rapid River,MI,49878,0.95
musical_instrument_store,El Jefe Guitars,,Naples,FL,,0.91
community_center,Sister Bay Village Hall,10693 WI-42,,,54234,0.95
community_center,Cedarville Twp Hall,W2244 Number 29 Rd,Cedarville,MI,49821,0.95
library,Menominee County Library,319 Railroad St,,,49887,0.96
library,Spies Public Library,940 1st St,Menominee,MI,49858,0.95
community_center,CYI Community Center,901 Henriette Ave,Crivitz,WI,54114,0.96
library,Crivitz Area Library,606 Louisa St,Crivitz,WI,54114,0.95
library,Lakes Country Public Library,15235 WI-32,Lakewood,WI,54138,0.96
library,Wausaukee Public Library,704 Main St,Wausaukee,WI,54177,0.95
musical_instrument_store,Bad Water Guitars,1110 W A St,Iron Mountain,MI,49801,0.99
music_school,Dawn Kranz Music Studio,712 Cass Ave,Kingsford,MI,49802,0.95
youth_organizations,Dunbar Community Church Youth,W11475 US-8,Dunbar,WI,54119,0.95
music_school,Major 10th School of Music,220 E Hughitt St,Iron Mountain,MI,49801,0.95
library,Dickinson County Library,401 Iron Mountain St,Iron Mountain,MI,49801,0.95
music_school,Kingsford Guitar Lessons,112 S Jackson St,Breitung Twp,MI,49802,0.96
library,Niagara Public Library,1029 Roosevelt Rd,Niagara,WI,54151,0.96
library,"Dickinson County Library, Solomonson Branch",620 Section St,Norway,MI,49870,0.96
community_center,Niagara Twp Hall,W6889 US Highway 8,Niagara,WI,54151,0.95
library,Florence County Library,400 Olive Ave,Florence,WI,54121,0.96
library,Hermansville Branch Library,W5480 1st St,Meyer Twp,MI,49847,0.96
library,Forsyth Twp Public Library,180 W Flint St,Forsyth Twp,MI,49841,0.95
youth_organizations,Marquette County West End Youth Center,,Ishpeming,MI,,0.92
library,Ishpeming Carnegie Public Library,317 N Main St,Ishpeming,MI,49849,0.96
musical_instrument_store,The Music Box,200 S Main St,Ishpeming,MI,49849,0.95
youth_organizations,Big Brothers Big Sisters of the Central Upper Peninsula,97 S 4th St,Ishpeming,MI,49849,0.96
library,Negaunee Public Library,319 W Case St,Negaunee,MI,49866,0.99
library,Richmond Township Library,304 Snyder St,,,49871,0.96
music_school,Robert Buchkoe Piano Studio,1117 N 4th St,Marquette,MI,49855,0.96
musical_instrument_store,Jim's Music & Teaching Center,1212 N 3rd St,Marquette,MI,49855,0.95
library,Peter White Public Library,217 N Front St,Marquette,MI,49855,0.95
youth_organizations,GSNWGL - Girl Scouts of the Northwestern Great Lakes,712 Chippewa Sq,Marquette,MI,49855,0.96
youth_organizations,Hiawathaland District Scouting,,Marquette,MI,,0.91
youth_organizations,Youth Volume,6044 US-41,Chocolay Twp,MI,49855,0.95
community_center,Skandia Comm. Center,224 Kreiger Dr,Skandia,MI,49885,0.95
community_center,Niiwin Akeaa Community Center,111 Beartown Rd,,,49908,0.95
library,Lanse Public Library,201 N 4th St,L'Anse,MI,49946,0.96
library,Crystal Falls Library,237 Superior Ave,Crystal Falls,MI,49920,0.96
library,Mc Millan Township Library,200 S Cedar St,McMillan Twp,MI,49925,0.96
library,Ontonagon Township Library,311 N Steel St,Ontonagon,MI,49953,0.95
music_school,Wakefield Marenisco School District,715 Putnam St,Wakefield,MI,49968,0.96
library,Wakefield Public Library,401 Hancock St,Wakefield,MI,49968,0.96
community_center,Boulder Junction Community Center,5386 Park St,Boulder Junction,WI,54512,0.96
library,Boulder Junction Public Library,5392 Park St,Boulder Junction,WI,54512,0.98
library,Winchester Public Library,2117 Lake St,Presque Isle,WI,54557,0.96
library,Frank B Koller Memorial Library,5761 US-51,Mercer,WI,54547,0.96
library,Presque Isle Community Library,8306 School Loop Rd,Presque Isle,WI,54557,0.95
library,Lac Du Flambeau Public Library,622 Peace Pipe Rd,Lac du Flambeau,WI,54538,0.95
musical_instrument_store,Bill's Piano Service,1591 Royal Carriage Ln,Woodruff,WI,54568,0.99
library,Minocqua Public Library,415 Menominee St,Minocqua,WI,54548,0.95
youth_organizations,Headwaters Christian Youth,26 N Brown St,Rhinelander,WI,54501,0.96
library,Rhinelander District Library,106 N Stevens St,Rhinelander,WI,54501,0.96
youth_organizations,Camp Fire Oneida & Camp Birchrock,315 S Oneida Ave,Rhinelander,WI,54501,0.93
library,Plum Lake Library,8789 Peterson St,Sayner,WI,54560,0.95
library,E Ellis Phelps Library,4495 Town Hall Rd,Phelps,WI,54554,0.96
library,Demmer Memorial Library,6961 W School St,Three Lakes,WI,54562,0.96
community_center,Elcho Community Pavilion,N11283 Dorr St,Elcho,WI,54428,0.96
library,Crandon Public Library,110 W Polk St,Crandon,WI,54520,0.96
library,Edith Evans Community Library,5216 Forest Ave,Laona,WI,54541,0.99
library,Town of Wabeno Public Library,4556 N Branch St,Wabeno,WI,54566,0.95
library,Antigo Public Library,617 Clermont St,Antigo,WI,54409,0.95
youth_organizations,"Boys & Girls Clubs of the Northwoods, Inc",411 Superior St,Antigo,WI,54409,0.95
library,Tomahawk Public Library,300 W Lincoln Ave,Tomahawk,WI,54487,0.95
youth_organizations,"Camp Birch Trails, Girl Scouts Camp",W5860 Olivotti Lake Rd,Irma,WI,54442,0.95
library,T.B. Scott Free Library,106 W 1st St,Merrill,WI,54452,0.98
library,Marathon County Public Library (MCPL),224 S 3rd Ave,Edgar,WI,54426,0.99
library,Marathon County Public Library (MCPL),515 Washington St,Marathon City,WI,54448,0.99
tutoring_center,be well yoga,2003 Robin Ln,Rib Mountain,WI,54401,0.96
musical_instrument_store,Mountain Luthiers,1809 N 1st Ave,Wausau,WI,54401,0.96
music_school,Piano Inspirations: Moved by the art of playing the piano,6300 Clover Rd,,,54401,0.95
musical_instrument_store,Jerry's Music,702 N 3rd Ave,Wausau,WI,54401,0.95
musical_instrument_store,Sandbom Guitar Company LLC,626 N 3rd Ave,Wausau,WI,54401,0.99
youth_organizations,Boys & Girls Club of the Wausau Area,1710 N 2nd St,Wausau,WI,54403,0.93
community_center,Wausau American Legion,1001 Golf Club Rd,Wausau,WI,54403,0.95
musical_instrument_store,October Guitars,404 S 2nd Ave,Wausau,WI,54401,0.95
library,Marathon County Public Library (MCPL),300 N 1st St,Wausau,WI,54403,0.99
library,Wisconsin Valley Library Service,300 N 1st St,Wausau,WI,54403,0.99
music_school,"Wausau Conservatory of Music, Inc.",404 Seymour St,Wausau,WI,54403,0.95
youth_organizations,"Samoset Council, BSA",3511 Camp Phillips Rd,Weston,WI,54476,0.96
music_school,Wisconsin Rock Guitar Academy,499 Division St,Rothschild,WI,54474,0.92
library,Marathon County Public Library (MCPL),211 Grand Ave,Rothschild,WI,54474,0.99
music_school,Schofield String Studio,209 Everest Dr,Rothschild,WI,54474,0.98
children's_museum,Greater Wausau Children's Museum,10101 Market St,Rothschild,WI,54474,0.95
library,Marathon County Public Library (MCPL),435 Curtis Ave,Hatley,WI,54440,0.99
library,Rosholt Library,137 N Main St,Rosholt,WI,54473,0.96
library,Marathon County Public Library (MCPL),123 Main St,Mosinee,WI,54455,0.99
community_center,Vesper Community Center,5032 E Benson Ave,Vesper,WI,54489,0.95
library,Lester Public Library of Vesper,6550 Virginia St,Vesper,WI,54489,0.96
youth_organizations,South Wood County YMCA,601 W Grand Ave,Wisconsin Rapids,WI,54495,0.92
library,McMillan Memorial Library,490 E Grand Ave,Wisconsin Rapids,WI,54494,0.91
youth_organizations,Boys & Girls Club of the Wisconsin Rapids Area,501 W Grand Ave,Wisconsin Rapids,WI,54495,0.99
music_school,Rapids School of Performing Arts,1211 Parkwood Dr,Wisconsin Rapids,WI,54494,0.96
youth_organizations,"Girl Scouts of the Northwestern Great Lakes, Inc.",3910 Chestnut St,Wisconsin Rapids,WI,54494,0.96
library,Charles & JoAnn Lester Library - Nekoosa Library,100 Park St,Nekoosa,WI,54457,0.96
musical_instrument_store,Gilson's Music Outpost,8241 County Road Z,Wisconsin Rapids,WI,54494,0.96
library,Lester Public Library of Rome,1157 Rome Center Dr,Nekoosa,WI,54457,0.96
library,Plainfield Public Library,126 S Main St,Plainfield,WI,54966,0.91
community_center,Hancock Community Center,420 N Jefferson St,Hancock,WI,54943,0.95
library,Hancock Public Library,114 S Main St,Hancock,WI,54943,0.96
library,UWSP Library,1801 4th Ave,Stevens Point,WI,54481,0.95
library,Portage County Public Library,1001 Main St,Stevens Point,WI,54481,0.93
children's_museum,Central Wisconsin Children's Museum (CWCM),1100 Main St,Stevens Point,WI,54481,0.96
musical_instrument_store,Jim Laabs Music Store,1045 Main St,Stevens Point,WI,54481,0.96
youth_organizations,CESA Youth Program,1100 Centerpoint Dr,Stevens Point,WI,54481,0.96
youth_organizations,"Scouts 293 Stevens Point, WI",1410 Rogers St,Stevens Point,WI,54481,0.91
music_school,UWSP Music Department,1800 Portage St,Stevens Point,WI,54481,0.96
music_school,UWSP Aber Suzuki Center & American Suzuki Institute,1800 Portage St,Stevens Point,WI,54481,0.95
music_school,Noteworthy Music Studio,3047 Michigan Ave,Stevens Point,WI,54481,0.91
music_school,Stevens Point School of Performing Arts,3047 Michigan Ave,Stevens Point,WI,54481,0.95
music_school,"Heywood Music Studios, LLC",3201 Main St,Stevens Point,WI,54481,0.99
community_center,The Commons Community Nonprofit Center,2801 Hoover Rd,Stevens Point,WI,54481,0.96
youth_organizations,Boys & Girls Club of Portage County,2401 Cedar Dr,Plover,WI,54467,0.96
library,Plover Library,2151 Roosevelt Dr,Plover,WI,54467,0.96
music_school,Lessons From the Art,189 N Main St,Iola,WI,54945,0.96
library,Iola Village Library,180 S Main St,Iola,WI,54945,0.96
community_center,Jensen Community Center,487 N Main St,Amherst,WI,54406,0.93
library,Lettie W. Jensen Library,278 N Main St,Amherst,WI,54406,0.96
library,Scandinavia Public Library,349 N Main St,Scandinavia,WI,54977,0.96
library,Waupaca Area Public Library,107 S Main St,Waupaca,WI,54981,0.96
library,Patterson Memorial Library,500 Division St,Wild Rose,WI,54984,0.96
youth_organizations,Mighty Oaks 4-H Club,,Poy Sippi,WI,,0.93
library,Poy Sippi Public Library,W2251 Commercial St,Poy Sippi,WI,54967,0.95
library,Neuschafer Community Library,317 Wolf River Dr,Fremont,WI,54940,0.95
community_center,Hortonville Opera House,312 W Main St,Hortonville,WI,54944,0.95
library,Winneconne Public Library,31 S 2nd St,Winneconne,WI,54986,0.96
tutoring_center,Tutor Doctor Fox Valley,670 S 5th Ave,Winneconne,WI,54986,0.99
library,Sturm Memorial Library,130 N Bridge St,Manawa,WI,54949,0.95
library,New London Library,406 S Pearl St,New London,WI,54961,0.95
library,Hortonville Public Library,531 N Nash St,Hortonville,WI,54944,0.96
library,Marion Public Library,120 N Main St,Marion,WI,54950,0.96
youth_organizations,4-H,311 N Main St,Shawano,WI,54166,0.96
library,Shawano County Library,128 S Sawyer St,Shawano,WI,54166,0.95
community_center,Wittenberg Community Center,208 W Vinal St,Wittenberg,WI,54499,0.95
library,Wittenberg Village Library,302 S Cherry St,Wittenberg,WI,54499,0.95
community_center,Galloway Community Center,203340 WI-49,Wittenberg,WI,54499,0.95
musical_instrument_store,Walker Piano Service,E848 Wolf River Rd,Iola,WI,54945,0.96
library,College of Menominee Nation Library,n 172 WI-55,,,54135,0.96
community_center,Southbranch Community Center,W1281 CR-M,Suring,WI,54174,0.95
community_center,Gillett Library Community Center,204 E Main St,Gillett,WI,54124,0.96
library,Bonduel Library,125 N Washington St,Bonduel,WI,54107,0.95
library,Brown County Library,222 W Pulaski St,Pulaski,WI,54162,0.96
library,Oconto Falls Community Library,251 N Main St,Oconto Falls,WI,54154,0.99
library,Coleman Area Library,123 W Main St,Coleman,WI,54112,0.95
library,Lena Public Library,200 E Main St,Lena,WI,54139,0.95
library,Farnsworth Public Library,715 Main St,Oconto,WI,54153,0.95
community_center,Donald and Carol Kress Pavilion,7845 Church St,Egg Harbor,WI,54209,0.95
youth_organizations,Boys & Girls Club of Door County,55 S 3rd Ave,Sturgeon Bay,WI,54235,0.95
library,Door County Library,107 S 4th Ave,Sturgeon Bay,WI,54235,0.99
library,Algoma Public Library,406 Fremont St,Algoma,WI,54201,0.96
musical_instrument_store,Mudbone Guitars,1641 Louisiana Pl,Sturgeon Bay,WI,54235,0.96
community_center,Brussels Community Center,1366 Junction Rd,Brussels,WI,54204,0.96
library,Brown County Library,450 N Wall St,Denmark,WI,54208,0.95
library,Kewaunee Public Library,822 Juneau St,Kewaunee,WI,54216,0.95
youth_organizations,Able Rco Llc,909 S 29th St,Manitowoc,WI,54220,0.96
youth_organizations,Dare to Dream Theatre,PO Box 482,Sheboygan,WI,54228,0.94
music_school,Take Note Studio,502 N 8th St,Manitowoc,WI,54220,0.91
library,Manitowoc Public Library,707 Quay St,Manitowoc,WI,54220,0.99
library,Lester Public Library,1001 Adams St,Two Rivers,WI,54241,0.95
library,Brown County Library - Wrightstown Branch,615 Main St,Wrightstown,WI,54180,0.95
community_center,Hilbert Community Center,45 N 5th St,Hilbert,WI,54129,0.96
youth_organizations,Outer Limits Youth Center,N8795 Church St,Brillion,WI,54110,0.92
community_center,Brillion Community Center,120 Center St,Brillion,WI,54110,0.96
library,Brillion Public Library,326 N Main St,Brillion,WI,54110,0.95
library,Oneida Community Library,201 Elm St,Oneida,WI,54155,0.96
tutoring_center,Kumon Math and Reading Center of Howard,2465 Lineville Rd,Howard,WI,54313,0.98
tutoring_center,ACE Institute,2202 Woodale Ave,Howard,WI,54313,0.96
musical_instrument_store,Jim's Music,1219 S Military Ave,Green Bay,WI,54304,0.98
community_center,Oneida Community Education Center,2632 Packerland Dr,Ashwaubenon,WI,54313,0.95
library,Brown County Library,1060 Orlando Dr,Green Bay,WI,54304,0.95
youth_organizations,Ashwaubenon Alumni Association,2391 S Ridge Rd,Ashwaubenon,WI,54304,0.95
musical_instrument_store,Heid Music,2605 S Oneida St,Ashwaubenon,WI,54304,0.99
community_center,De Pere Community Center,600 Grant St,De Pere,WI,54115,0.96
tutoring_center,Peak Learning Center,339 Main Ave,De Pere,WI,54115,0.96
youth_organizations,The Boys & Girls Club of Greater Green Bay,1451 University Ave,Green Bay,WI,54302,0.96
library,Brown County Library - Southwest Branch,974 9th St,Green Bay,WI,54304,0.95
community_center,Plush Fashion 015,1226 S Maple Ave,Green Bay,WI,54304,0.92
music_school,Let's Make Music,2250 Holmgren Way,Ashwaubenon,WI,54304,0.96
musical_instrument_store,Lloyd's Guitars,415 Dousman St,Green Bay,WI,54303,0.96
musical_instrument_store,String Instrument Workshop,147 N Broadway,Green Bay,WI,54303,0.95
youth_organizations,Young Life,226 N Adams St,Green Bay,WI,54301,0.95
music_school,Studio 12,332 S Madison St,Green Bay,WI,54301,0.95
library,Vida Nueva Libreria Cristiana,1727 University Ave,Green Bay,WI,54302,0.91
music_school,"Vibhas - Piano, Flute & Sax - Lessons & Recording Productions",1120 S Clay St,Green Bay,WI,54301,0.96
library,Nicolet Federated Library System,1595 Allouez Ave,Green Bay,WI,54311,0.96
music_school,Green Bay Rock School,1764 Main St,Green Bay,WI,54302,0.93
musical_instrument_store,Luthier's Workshop,1778 Main St,Green Bay,WI,54302,0.99
community_center,Green Bay Kroc Center,1315 Lime Kiln Rd,Green Bay,WI,54311,0.98
library,Brown County Library - East Branch,2255 Main St,Green Bay,WI,54302,0.95
musical_instrument_store,Instrumental Music Company,2986 Voyager Dr,Green Bay,WI,54311,0.99
library,Brown County Library - Kress Family Branch,333 N Broadway,De Pere,WI,54115,0.96
musical_instrument_store,Working Class Guitars,214 N Michigan St,De Pere,WI,54115,0.96
library,Black Creek Library,507 S Maple St,Black Creek,WI,54106,0.96
library,Shiocton Public Library,W7740 Pine St,Shiocton,WI,54170,0.95
library,Muehl Public Library,436 N Main St,Seymour,WI,54165,0.96
library,Green Earth Branch Library,W1273 Redtail Dr,De Pere,WI,54115,0.96
musical_instrument_store,Guitar Center,775 N Casaloma Dr,Grand Chute,WI,54913,0.99
music_school,Show How Studio,2200 Thrush Ln,Fox Crossing,WI,54956,0.96
