category,name,address,city,state,zip,confidence
park,Avalanche Preserve Recreation Area,1129 Wilson St,Boyne City,MI,49712,0.95
park,Adventure Center,1 Boyne Mountain Rd,,,49713,0.96
campground,Chandler Hill Campground,2930 Magee Rd N,Chandler Twp,MI,49713,0.95
campground,Higher Ground at Lake Louise,10750 Stafford Rd,Boyne Falls,MI,49713,0.96
campground,"Camp 437, Private Camp",2805 McGregor Rd,,,49795,0.95
campground,Church of God Family Camp,13603 Veenstra Rd,Marion Twp,MI,49720,0.96
park,Sleeping Bear Dunes National Lakeshore,,,,49664,0.96
park,Kitch-iti-kipi,Sawmill Rd,,,49854,0.95
campground,Elli's Lazy Days Resort & Camground,606n Co Rd 455,,,49854,0.96
campground,Indian Lake RV Resort & Campground,202 Co Rd 455,,,49854,0.96
campground,Sandy Shores Campground,"9290 W, Co Hwy 442",,,49854,0.96
campground,Woodstar beach campground,1786S Harbor Rd,,,49854,0.95
park,Project Playground,,,,49854,0.95
campground,Portage Bay State Campground,,,,49835,0.96
campground,Flowing Well Campground,,,,49878,0.95
park,Oak Bluff Estates Mobile Home,2722 S Hill Rd,Gladstone,MI,49837,0.96
park,Rapid River National Ski Trail,"8181 US Hwy 2, 8181 US-41",,,49878,0.96
campground,Whispering Valley RV Park,8410 US Highway 2,Rapid River,MI,49878,0.96
campground,Gladstone Bay Campground,37 Michigan Ave,Gladstone,MI,49837,0.96
campground,Vagabond Resort & Campground,8935 County 513 T Rd,Ensign Twp,MI,49878,0.95
park,Escanaba Parks & Recreation,225 N 21st St,Escanaba,MI,49829,0.95
park,Municipal Docks,,,,49829,0.96
campground,Washington Island Campground,745 E Side Rd,Washington Island,WI,54246,0.95
park,Ellison Bluff State Natural Area,12050 Ellison Bluff Rd,Ellison Bay,WI,54210,0.96
campground,Wagon Trail Campground,1190 County Road ZZ,Ellison Bay,WI,54210,0.95
campground,Dovetail Acres Campground,10282 WI-57,Sister Bay,WI,54234,0.96
campground,Aqualand Campground,2501 CR-Q,Sister Bay,WI,54234,0.96
hiking_trail,Eagle Panorama,4498 Shore Rd,,,54212,0.96
campground,Chalk Hills Campground,State Rd,,,54102,0.95
campground,Diamond Lake Campground,W5449 Loomis Rd,Porterfield,WI,54159,0.99
park,Harmony Arboretum,N3898 County Rd E,Peshtigo,WI,54157,0.95
park,Cox Landing,,,,54143,0.96
park,Swing N Things,900 1st St,Menominee,MI,49858,0.96
campground,Wolf Rock Campground,W11691 Boatlanding 7 Rd,Athelstane,WI,54104,0.96
campground,"Peshtigo River Campground, LLC",W7948 Airport Rd,Crivitz,WI,54114,0.96
campground,Maple Heights Campground,16091 E Chain Lake Rd,Lakewood,WI,54138,0.96
campground,Bagley Rapids Campground,Lower Bagley Rapids Rd,,,54149,0.95
campground,Camp Norwid,16625 Martin Ln,Crivitz,WI,54114,0.96
campground,Bear Paw Scout Camp,14000 Bear Paw Camp Ln,Mountain,WI,54149,0.96
campground,Heavens Up North Family Campground,18344 Lake John Rd,Lakewood,WI,54138,0.96
campground,Silver Cliff Camp,W14301 County Road C,Athelstane,WI,54104,0.96
campground,Old Veteran's Lake Campground,,,,54114,0.96
campground,Lake Helen Bible Camp,N12864 Old 38 Rd,Wausaukee,WI,54177,0.95
park,Bull Falls,,,,54119,0.95
park,Millie Hill Trails,,,,49801,0.96
park,Smalley Falls,20501 Morgan Park Rd,,,54151,0.96
campground,Laura Lake Campground,9139 Laura Lake Road 121,Armstrong Creek,WI,54103,0.95
campground,Lake Hilbert Campground,N20490 Town Park Rd,Fence,WI,54120,0.95
campground,Lost Lake,,,,,0.96
campground,Camping in the Clouds Campground,4080 US Highway 2,Florence,WI,54121,0.95
park,Wild Rivers Interpretive Center,5638 Forestry Dr,Florence,WI,54121,0.96
park,Lasalle Falls,,,,54121,0.95
campground,Summer Breeze Campground,W8576 Twin Falls Rd,,,49801,0.99
park,Beaver Pete's Lodging & Bunkhouse,Beaver Pete Rd,,,49892,0.95
park,Bark River Sports Complex,11.5 Rd,,,49807,0.96
